PA_Record_Type|PA_Payment_Record_Number|PA_Brand_Code|PA_Agency_Name|PA_Agency_Address_1|PA_Agency_Address_2|PA_Agency_Address_3|PA_Agency_City|PA_Agency_State_Province_Code|PA_Agency_Country_Code|PA_Agency_Postal_Code|PA_Agency_Phone_Number|PA_Agency_Payment_Currency
PA|190916000023|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000024|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000025|RF|PRICELINE.COM INCORPORATED|800 CONNECTICUT AVENUE|||NORWALK|CT|US|06854|1-203-299-8430|USD
PA|190916000026|RF|LOLA TRAVEL COMPANY INC|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000027|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000028|RF|TRIPACTIONS INC|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000029|RF|BCD TRAVEL USA LLC|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000030|RF|CARLSON WAGONLIT TRAVEL INC|SUITE 300|2401 W PEORIA AVE||PHOENIX|AZ|US|85029|1-877-711-1915|USD
PA|190916000031|RF|CARLSON WAGONLIT TRAVEL INC|SUITE 300|2401 W PEORIA AVE||PHOENIX|AZ|US|85029|1-877-711-1915|USD
PA|190916000032|RF|CARLSON WAGONLIT TRAVEL INC|SUITE 300|2401 W PEORIA AVE||PHOENIX|AZ|US|85029|1-877-711-1915|USD
PA|190916000033|RF|CARLSON WAGONLIT TRAVEL INC|SUITE 300|2401 W PEORIA AVE||PHOENIX|AZ|US|85029|1-877-711-1915|USD
PA|190916000034|RF|AAA MID ATLANTIC INC|3RD FLOOR - TRAVEL ACCOUNTING|1 RIVER PL||WILMINGTON|DE|US|19801|1-609-588-6810|USD
PA|190916000035|RF|OVATION TRAVEL GROUP INC|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000036|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000037|RF|HOTELGUIDES.COM, INC.|PO BOX 13318|||CHARLESTON|SC|US|29422-3318|1-800-916-4526|USD
PA|190916000038|RF|CW GOVERNMENT TRAVEL INC|1011 ASHE STREET|||CAMP LEJEUNE|NC|US|28547|1-910-450-9521|USD
PA|190916000039|RF|CW GOVERNMENT TRAVEL INC|1011 ASHE STREET|||CAMP LEJEUNE|NC|US|28547|1-910-450-9521|USD
PA|190916000040|RF|CW GOVERNMENT TRAVEL INC|1011 ASHE STREET|||CAMP LEJEUNE|NC|US|28547|1-910-450-9521|USD
PA|190916000041|RF|BCD TRAVEL USA LLC|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000042|RF|HOTELGUIDES.COM, INC.|PO BOX 13318|||CHARLESTON|SC|US|29422-3318|1-800-916-4526|USD
PA|190916000043|RF|AAA MID ATLANTIC INC|3RD FLOOR - TRAVEL ACCOUNTING|1 RIVER PL||WILMINGTON|DE|US|19801|1-609-588-6810|USD
PA|190916000044|RF|LOLA TRAVEL COMPANY INC|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000045|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000046|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000047|RF|HOTEL JV SERVICES LLC|SUITE 1450|3811 TURTLE CREEK||DALLAS|TX|US|75219|1-855-219-7666|USD
PA|190916000048|RF|HOTELGUIDES.COM, INC.|PO BOX 13318|||CHARLESTON|SC|US|29422-3318|1-800-916-4526|USD
PA|190916000049|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000050|RF|TRIPADVISOR LLC|165 NEEDHAM ST|||NEWTON|MA|US|02464-1505|1-866-322-5942|USD
PA|190916000051|RF|TOURIST BUREAU MARKETING INC.|428 E THUNDERBIRD RD|STE 247||PHOENIX|AZ|US|85022-5229|1-602-952-2106|USD
PA|190916000052|RF|TRIPADVISOR LLC|165 NEEDHAM ST|||NEWTON|MA|US|02464-1505|1-866-322-5942|USD
PA|190916000053|RF|CARLSON WAGONLIT TRAVEL INC|SUITE 200|1250 NORTHLAND DR||MENDOTA HTS|MN|US|55120|1-651-406-6000|USD
PA|190916000054|RF|HOTELGUIDES.COM, INC.|PO BOX 13318|||CHARLESTON|SC|US|29422-3318|1-800-916-4526|USD
PA|190916000055|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000056|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000057|RF|HOTEL JV SERVICES LLC|SUITE 1450|3811 TURTLE CREEK||DALLAS|TX|US|75219|1-855-219-7666|USD
PA|190916000058|RF|TRAVEL AND TRANSPORT INC|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000059|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000060|RF|TRAVEL SYNDICATION TECHNOLOGY LLC|SUITE 1000|5555 GLEN RIDGE CONNECTOR||ATLANTA|GA|US|30342|1-404-793-7460|USD
PA|190916000061|RF|HOTEL JV SERVICES LLC|SUITE 1450|3811 TURTLE CREEK||DALLAS|TX|US|75219|1-855-219-7666|USD
PA|190916000062|RF|TOURIST BUREAU MARKETING INC.|428 E THUNDERBIRD RD|STE 247||PHOENIX|AZ|US|85022-5229|1-602-952-2106|USD
PA|190916000063|RF|TRAVELERS HAVEN, LLC|720 S COLORADO BLVD|STE 10505||DENVER|CO|US|80246-1904|1-877-592-9444|USD
PA|190916000064|RF|TRAVELERS HAVEN, LLC|720 S COLORADO BLVD|STE 10505||DENVER|CO|US|80246-1904|1-877-592-9444|USD
PA|190916000065|RF|TRAVELERS HAVEN, LLC|720 S COLORADO BLVD|STE 10505||DENVER|CO|US|80246-1904|1-877-592-9444|USD
PA|190916000066|RF|TRAVELERS HAVEN, LLC|720 S COLORADO BLVD|STE 10505||DENVER|CO|US|80246-1904|1-877-592-9444|USD
PA|190916000067|RF|TRAVELERS HAVEN, LLC|720 S COLORADO BLVD|STE 10505||DENVER|CO|US|80246-1904|1-877-592-9444|USD
PA|190916000068|RF|TRAVELERS HAVEN, LLC|720 S COLORADO BLVD|STE 10505||DENVER|CO|US|80246-1904|1-877-592-9444|USD
PA|190916000069|RF|TRAVELERS HAVEN, LLC|720 S COLORADO BLVD|STE 10505||DENVER|CO|US|80246-1904|1-877-592-9444|USD
PA|190916000070|RF|TRAVELERS HAVEN, LLC|720 S COLORADO BLVD|STE 10505||DENVER|CO|US|80246-1904|1-877-592-9444|USD
PA|190916000071|RF|TRAVELERS HAVEN, LLC|720 S COLORADO BLVD|STE 10505||DENVER|CO|US|80246-1904|1-877-592-9444|USD
PA|190916000072|RF|TRAVELERS HAVEN, LLC|720 S COLORADO BLVD|STE 10505||DENVER|CO|US|80246-1904|1-877-592-9444|USD
PA|190916000073|RF|TRAVELERS HAVEN, LLC|720 S COLORADO BLVD|STE 10505||DENVER|CO|US|80246-1904|1-877-592-9444|USD
PA|190916000074|RF|TRAVELERS HAVEN, LLC|720 S COLORADO BLVD|STE 10505||DENVER|CO|US|80246-1904|1-877-592-9444|USD
PA|190916000075|RF|TRAVELERS HAVEN, LLC|720 S COLORADO BLVD|STE 10505||DENVER|CO|US|80246-1904|1-877-592-9444|USD
PA|190916000076|RF|TRAVELERS HAVEN, LLC|720 S COLORADO BLVD|STE 10505||DENVER|CO|US|80246-1904|1-877-592-9444|USD
PA|190916000077|RF|TRAVELERS HAVEN, LLC|720 S COLORADO BLVD|STE 10505||DENVER|CO|US|80246-1904|1-877-592-9444|USD
PA|190916000078|RF|TRAVELERS HAVEN, LLC|720 S COLORADO BLVD|STE 10505||DENVER|CO|US|80246-1904|1-877-592-9444|USD
PA|190916000079|RF|TRAVELERS HAVEN, LLC|720 S COLORADO BLVD|STE 10505||DENVER|CO|US|80246-1904|1-877-592-9444|USD
PA|190916000080|RF|TRAVELERS HAVEN, LLC|720 S COLORADO BLVD|STE 10505||DENVER|CO|US|80246-1904|1-877-592-9444|USD
PA|190916000081|RF|TRAVELERS HAVEN, LLC|720 S COLORADO BLVD|STE 10505||DENVER|CO|US|80246-1904|1-877-592-9444|USD
PA|190916000082|RF|TRAVELERS HAVEN, LLC|720 S COLORADO BLVD|STE 10505||DENVER|CO|US|80246-1904|1-877-592-9444|USD
PA|190916000083|RF|TRAVELERS HAVEN, LLC|720 S COLORADO BLVD|STE 10505||DENVER|CO|US|80246-1904|1-877-592-9444|USD
PA|190916000084|RF|TRAVELERS HAVEN, LLC|720 S COLORADO BLVD|STE 10505||DENVER|CO|US|80246-1904|1-877-592-9444|USD
PA|190916000085|RF|TRAVELERS HAVEN, LLC|720 S COLORADO BLVD|STE 10505||DENVER|CO|US|80246-1904|1-877-592-9444|USD
PA|190916000086|RF|TRAVELERS HAVEN, LLC|720 S COLORADO BLVD|STE 10505||DENVER|CO|US|80246-1904|1-877-592-9444|USD
PA|190916000087|RF|TRAVELERS HAVEN, LLC|720 S COLORADO BLVD|STE 10505||DENVER|CO|US|80246-1904|1-877-592-9444|USD
PA|190916000088|RF|TRAVELERS HAVEN, LLC|720 S COLORADO BLVD|STE 10505||DENVER|CO|US|80246-1904|1-877-592-9444|USD
PA|190916000089|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000090|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000091|RF|HOTELGUIDES.COM, INC.|PO BOX 13318|||CHARLESTON|SC|US|29422-3318|1-800-916-4526|USD
PA|190916000092|RF|HOTELGUIDES.COM, INC.|PO BOX 13318|||CHARLESTON|SC|US|29422-3318|1-800-916-4526|USD
PA|190916000093|RF|PRICELINE.COM INCORPORATED|800 CONNECTICUT AVENUE|||NORWALK|CT|US|06854|1-203-299-8430|USD
PA|190916000094|RF|HOTELGUIDES.COM, INC.|PO BOX 13318|||CHARLESTON|SC|US|29422-3318|1-800-916-4526|USD
PA|190916000095|RF|PRICELINE.COM INCORPORATED|800 CONNECTICUT AVENUE|||NORWALK|CT|US|06854|1-203-299-8430|USD
PA|190916000096|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000097|RF|SUPERIOR TRAVEL SERVICES INC|STE 319|123 WASHINGTON ST||OSWEGO|IL|US|60543|1-630-554-7896|USD
PA|190916000098|RF|HOTELGUIDES.COM, INC.|PO BOX 13318|||CHARLESTON|SC|US|29422-3318|1-800-916-4526|USD
PA|190916000099|RF|HOTEL JV SERVICES LLC|SUITE 1450|3811 TURTLE CREEK||DALLAS|TX|US|75219|1-855-219-7666|USD
PA|190916000100|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000101|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000102|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000103|RF|TRIPADVISOR LLC|165 NEEDHAM ST|||NEWTON|MA|US|02464-1505|1-866-322-5942|USD
PA|190916000104|RF|PRICELINE.COM INCORPORATED|800 CONNECTICUT AVENUE|||NORWALK|CT|US|06854|1-203-299-8430|USD
PA|190916000105|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000106|RF|TRAVEL & TRANSPORT INC|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000107|RF|TRAVELERS HAVEN, LLC|720 S COLORADO BLVD|STE 10505||DENVER|CO|US|80246-1904|1-877-592-9444|USD
PA|190916000108|RF|TRAVELERS HAVEN, LLC|720 S COLORADO BLVD|STE 10505||DENVER|CO|US|80246-1904|1-877-592-9444|USD
PA|190916000109|RF|TRAVELERS HAVEN, LLC|720 S COLORADO BLVD|STE 10505||DENVER|CO|US|80246-1904|1-877-592-9444|USD
PA|190916000110|RF|PRICELINE.COM INCORPORATED|800 CONNECTICUT AVENUE|||NORWALK|CT|US|06854|1-203-299-8430|USD
PA|190916000111|RF|SUPERIOR TRAVEL SERVICES INC|STE 319|123 WASHINGTON ST||OSWEGO|IL|US|60543|1-630-554-7896|USD
PA|190916000112|RF|SUPERIOR TRAVEL SERVICES INC|STE 319|123 WASHINGTON ST||OSWEGO|IL|US|60543|1-630-554-7896|USD
PA|190916000113|RF|TRIPADVISOR LLC|165 NEEDHAM ST|||NEWTON|MA|US|02464-1505|1-866-322-5942|USD
PA|190916000114|RF|NHI-2, LLC|P.O. BOX 74008563|||CHICAGO|IL|US|60674-8563|1-847-718-9181|USD
PA|190916000115|RF|FC USA INC|STE 500|5777 W CENTURY BLVD||LOS ANGELES|CA|US|90045|1-206-467-5722|USD
PA|190916000116|RF|FC USA INC|STE 500|5777 W CENTURY BLVD||LOS ANGELES|CA|US|90045|1-206-467-5722|USD
PA|190916000117|RF|FC USA INC|STE 500|5777 W CENTURY BLVD||LOS ANGELES|CA|US|90045|1-206-467-5722|USD
PA|190916000118|RF|FC USA INC|STE 500|5777 W CENTURY BLVD||LOS ANGELES|CA|US|90045|1-206-467-5722|USD
PA|190916000119|RF|FC USA INC|STE 500|5777 W CENTURY BLVD||LOS ANGELES|CA|US|90045|1-206-467-5722|USD
PA|190916000120|RF|PRICELINE.COM INCORPORATED|800 CONNECTICUT AVENUE|||NORWALK|CT|US|06854|1-203-299-8430|USD
PA|190916000121|RF|PRICELINE.COM INCORPORATED|800 CONNECTICUT AVENUE|||NORWALK|CT|US|06854|1-203-299-8430|USD
PA|190916000122|RF|OVATION TRAVEL GROUP INC|11TH FLOOR|71 FIFTH AVE||NEW YORK|NY|US|10003|1-214-561-7760|USD
PA|190916000123|RF|TRIPADVISOR LLC|165 NEEDHAM ST|||NEWTON|MA|US|02464-1505|1-866-322-5942|USD
PA|190916000124|RF|PRICELINE.COM INCORPORATED|800 CONNECTICUT AVENUE|||NORWALK|CT|US|06854|1-203-299-8430|USD
PA|190916000125|RF|HOTEL JV SERVICES LLC|SUITE 1450|3811 TURTLE CREEK||DALLAS|TX|US|75219|1-855-219-7666|USD
PA|190916000126|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000127|RF|BCD TRAVEL USA LLC|680 ANDERSEN DR|||PITTSBURGH|PA|US|15220|1-855-655-1692|USD
PA|190916000128|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000129|RF|TRAVEL SYNDICATION TECHNOLOGY LLC|SUITE 1000|5555 GLEN RIDGE CONNECTOR||ATLANTA|GA|US|30342|1-404-793-7460|USD
PA|190916000130|RF|HOTELGUIDES.COM, INC.|PO BOX 13318|||CHARLESTON|SC|US|29422-3318|1-800-916-4526|USD
PA|190916000131|RF|TRIPADVISOR LLC|165 NEEDHAM ST|||NEWTON|MA|US|02464-1505|1-866-322-5942|USD
PA|190916000132|RF|THE UPSIDE TRAVEL COMPANY LLC|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000133|RF|PRICELINE.COM INCORPORATED|800 CONNECTICUT AVENUE|||NORWALK|CT|US|06854|1-203-299-8430|USD
PA|190916000134|RF|HOTELGUIDES.COM, INC.|PO BOX 13318|||CHARLESTON|SC|US|29422-3318|1-800-916-4526|USD
PA|190916000135|RF|HOTELGUIDES.COM, INC.|PO BOX 13318|||CHARLESTON|SC|US|29422-3318|1-800-916-4526|USD
PA|190916000136|RF|TRAVEL SYNDICATION TECHNOLOGY LLC|SUITE 1000|5555 GLEN RIDGE CONNECTOR||ATLANTA|GA|US|30342|1-404-793-7460|USD
PA|190916000137|RF|HOTEL JV SERVICES LLC|SUITE 1450|3811 TURTLE CREEK||DALLAS|TX|US|75219|1-855-219-7666|USD
PA|190916000138|RF|HOTELGUIDES.COM, INC.|PO BOX 13318|||CHARLESTON|SC|US|29422-3318|1-800-916-4526|USD
PA|190916000139|RF|HOTELGUIDES.COM, INC.|PO BOX 13318|||CHARLESTON|SC|US|29422-3318|1-800-916-4526|USD
PA|190916000140|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000141|RF|AMERICAN TRAVEL SOLUTIONS INC|204|26707 WEST AGOURA RD||CALABASAS|CA|US|91302|1-818-436-3900|USD
PA|190916000142|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000143|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000144|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000145|RF|HOTELGUIDES.COM, INC.|PO BOX 13318|||CHARLESTON|SC|US|29422-3318|1-800-916-4526|USD
PA|190916000146|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000147|RF|CORPORATE TRAVEL MANAGEMENTNORTH AMERICA|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000148|RF|HOTELGUIDES.COM, INC.|PO BOX 13318|||CHARLESTON|SC|US|29422-3318|1-800-916-4526|USD
PA|190916000149|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000150|RF|CORPORATE TRAVEL MANAGEMENTNORTH AMERICA|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000151|RF|CARLSON WAGONLIT TRAVEL INC.|605 S Front St|||Columbus|OH|US|43215||USD
PA|190916000152|RF|HOTELGUIDES.COM, INC.|PO BOX 13318|||CHARLESTON|SC|US|29422-3318|1-800-916-4526|USD
PA|190916000153|RF|PRICELINE.COM INCORPORATED|800 CONNECTICUT AVENUE|||NORWALK|CT|US|06854|1-203-299-8430|USD
PA|190916000154|RF|PRICELINE.COM INCORPORATED|800 CONNECTICUT AVENUE|||NORWALK|CT|US|06854|1-203-299-8430|USD
PA|190916000155|RF|TOURIST BUREAU MARKETING INC.|428 E THUNDERBIRD RD|STE 247||PHOENIX|AZ|US|85022-5229|1-602-952-2106|USD
PA|190916000156|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000157|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000158|RF|HOTELGUIDES.COM, INC.|PO BOX 13318|||CHARLESTON|SC|US|29422-3318|1-800-916-4526|USD
PA|190916000159|RF|SELECT HOTEL MANAGEMENT INC.|4045 STONE SCHOOL RD|C/O UNIVERSITY OF MICHIGAN HOSPI||ANN ARBOR|MI|US|48108-9723|1-734-663-1900|USD
PA|190916000160|RF|SELECT HOTEL MANAGEMENT INC.|4045 STONE SCHOOL RD|C/O UNIVERSITY OF MICHIGAN HOSPI||ANN ARBOR|MI|US|48108-9723|1-734-663-1900|USD
PA|190916000161|RF|SELECT HOTEL MANAGEMENT INC.|4045 STONE SCHOOL RD|C/O UNIVERSITY OF MICHIGAN HOSPI||ANN ARBOR|MI|US|48108-9723|1-734-663-1900|USD
PA|190916000162|RF|SELECT HOTEL MANAGEMENT INC.|4045 STONE SCHOOL RD|C/O UNIVERSITY OF MICHIGAN HOSPI||ANN ARBOR|MI|US|48108-9723|1-734-663-1900|USD
PA|190916000163|RF|SELECT HOTEL MANAGEMENT INC.|4045 STONE SCHOOL RD|C/O UNIVERSITY OF MICHIGAN HOSPI||ANN ARBOR|MI|US|48108-9723|1-734-663-1900|USD
PA|190916000164|RF|SELECT HOTEL MANAGEMENT INC.|4045 STONE SCHOOL RD|C/O UNIVERSITY OF MICHIGAN HOSPI||ANN ARBOR|MI|US|48108-9723|1-734-663-1900|USD
PA|190916000165|RF|SELECT HOTEL MANAGEMENT INC.|4045 STONE SCHOOL RD|C/O UNIVERSITY OF MICHIGAN HOSPI||ANN ARBOR|MI|US|48108-9723|1-734-663-1900|USD
PA|190916000166|RF|SELECT HOTEL MANAGEMENT INC.|4045 STONE SCHOOL RD|C/O UNIVERSITY OF MICHIGAN HOSPI||ANN ARBOR|MI|US|48108-9723|1-734-663-1900|USD
PA|190916000167|RF|SELECT HOTEL MANAGEMENT INC.|4045 STONE SCHOOL RD|C/O UNIVERSITY OF MICHIGAN HOSPI||ANN ARBOR|MI|US|48108-9723|1-734-663-1900|USD
PA|190916000168|RF|SELECT HOTEL MANAGEMENT INC.|4045 STONE SCHOOL RD|C/O UNIVERSITY OF MICHIGAN HOSPI||ANN ARBOR|MI|US|48108-9723|1-734-663-1900|USD
PA|190916000169|RF|HOTELGUIDES.COM, INC.|PO BOX 13318|||CHARLESTON|SC|US|29422-3318|1-800-916-4526|USD
PA|190916000170|RF|SUPERIOR TRAVEL SERVICES INC|STE 319|123 WASHINGTON ST||OSWEGO|IL|US|60543|1-630-554-7896|USD
PA|190916000171|RF|SUPERIOR TRAVEL SERVICES INC|STE 319|123 WASHINGTON ST||OSWEGO|IL|US|60543|1-630-554-7896|USD
PA|190916000172|RF|SUPERIOR TRAVEL SERVICES INC|STE 319|123 WASHINGTON ST||OSWEGO|IL|US|60543|1-630-554-7896|USD
PA|190916000173|RF|AAA MID ATLANTIC INC|3RD FLOOR - TRAVEL ACCOUNTING|1 RIVER PL||WILMINGTON|DE|US|19801|1-609-588-6810|USD
PA|190916000174|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000175|RF|LEXYL TRAVEL TECHNOLOGIES LLC|777 S FLAGLER DR|WEST TOWER STE 800||WEST PALM BEACH|FL|US|33401-6161|1-800-898-1347|USD
PA|190916000176|RF|HOTELGUIDES.COM, INC.|PO BOX 13318|||CHARLESTON|SC|US|29422-3318|1-800-916-4526|USD
